Date;Montería;Neiva;Ibagué;Villavicencio
2011-01-01;0;105;90;90
2011-02-01;25;200;150;140
2011-03-01;80;245;325;180
2011-04-01;102;430;280;480
2011-05-01;130;175;160;620
2011-06-01;360;46;80;550
2011-07-01;105;60;85;350
2011-08-01;120;43;60;200
2011-09-01;190;62;85;560
2011-10-01;200;70;140;330
2011-11-01;170;460;310;580
2011-12-01;150;290;145;360
2012-01-01;0;150;180;38
2012-02-01;3;27;95;115
2012-03-01;1;110;135;550
2012-04-01;75;280;310;530
2012-05-01;135;28;155;580
2012-06-01;300;8;20;440
2012-07-01;180;33;33;600
2012-08-01;220;8;70;390
2012-09-01;160;10;60;280
2012-10-01;190;240;250;590
2012-11-01;55;390;95;260
2012-12-01;35;155;145;330
2013-01-01;0;70;50;1
2013-02-01;55;165;125;90
2013-03-01;48;40;130;210
2013-04-01;73;120;190;700
2013-05-01;178;240;340;750
2013-06-01;210;10;90;435
2013-07-01;120;8;77;602
2013-08-01;170;23;95;280
2013-09-01;110;18;105;235
2013-10-01;62;80;40;168
2013-11-01;130;230;230;550
2013-12-01;3;140;230;175
2014-01-01;0;68;50;0
2014-02-01;4;78;140;91
2014-03-01;2;205;200;250
2014-04-01;58;78;260;680
2014-05-01;55;118;220;410
2014-06-01;220;29;147;702
2014-07-01;80;8;30;385
2014-08-01;270;4;82;280
2014-09-01;160;33;245;310
2014-10-01;190;250;200;305
2014-11-01;30;150;103;500
2014-12-01;62;230;240;215
2015-01-01;0,5;40;150;190
2015-02-01;20;95;97;93
2015-03-01;0;150;165;238
2015-04-01;95;90;162;395
2015-05-01;295;13;50;393
2015-06-01;80;8;46;400
2015-07-01;230;8;18;470
2015-08-01;105;4;10;290
2015-09-01;110;10;50;300
2015-10-01;260;25;147;410
2015-11-01;125;140;115;410
2015-12-01;30;0;4;178
2016-01-01;3;80;60;50
2016-02-01;8;78;75;75
2016-03-01;18;100;80;242
2016-04-01;55;90;150;300
2016-05-01;125;50;140;410
2016-06-01;125;55;140;380
2016-07-01;110;24;55;320
2016-08-01;105;12;40;270
2016-09-01;120;25;100;260
2016-10-01;100;120;151;320
2016-11-01;65;165;159;290
2016-12-01;38;130;80;150
2017-01-01;3;80;60;45
2017-02-01;9;100;60;45
2017-03-01;16;100;160;130
2017-04-01;55;90;160;310
2017-05-01;120;50;140;420
2017-06-01;90;30;80;375
2017-07-01;110;25;55;310
2017-08-01;110;12;40;280
2017-09-01;125;25;70;250
2017-10-01;100;120;140;349
2017-11-01;65;165;130;300
2017-12-01;38;130;80;150
2018-01-01;3;80;60;40
2018-02-01;8;58;75;75
2018-03-01;15;105;85;135
2018-04-01;55;90;150;300
2018-05-01;120;55;140;420
2018-06-01;100;28;85;380
2018-07-01;110;25;55;300
2018-08-01;110;12;40;280
2018-09-01;120;25;80;250
2018-10-01;100;120;140;320
2018-11-01;65;160;125;300
2018-12-01;38;130;80;150
2019-01-01;14;100;97;22
